0.008,-10.625699,-11.64873,-10.447465
0.012,-7.68012,-10.625699,-11.64873
0.016,-5.476296,-7.68012,-10.625699
0.02,-5.802084,-5.476296,-7.68012
0.024,-7.641282,-5.802084,-5.476296
0.028,-9.079575,-7.641282,-5.802084
0.032,-9.147628,-9.079575,-7.641282
0.036,-8.095759,-9.147628,-9.079575
0.04,-6.798523,-8.095759,-9.147628
0.044,-5.682462,-6.798523,-8.095759
0.048,-4.332841,-5.682462,-6.798523
0.052,-2.083515,-4.332841,-5.682462
0.056,0.793631,-2.083515,-4.332841
0.06,3.300418,0.793631,-2.083515
0.064,4.95609,3.300418,0.793631
0.068,5.540956,4.95609,3.300418
0.072,4.601199,5.540956,4.95609
0.076,2.191974,4.601199,5.540956
0.08,-0.477338,2.191974,4.601199
0.084,-2.172346,-0.477338,2.191974
0.088,-3.207602,-2.172346,-0.477338
0.092,-4.678211,-3.207602,-2.172346
0.096,-6.751313,-4.678211,-3.207602
0.1,-8.097,-6.751313,-4.678211
0.104,-7.007811,-8.097,-6.751313
0.108,-3.433557,-7.007811,-8.097
0.112,0.929859,-3.433557,-7.007811
0.116,4.417739,0.929859,-3.433557
0.12,6.626115,4.417739,0.929859
0.124,8.063925,6.626115,4.417739
0.128,9.124469,8.063925,6.626115
0.132,9.781333,9.124469,8.063925
0.136,9.632328,9.781333,9.124469
0.14,8.375528,9.632328,9.781333
0.144,6.655721,8.375528,9.632328
0.148,5.524429,6.655721,8.375528
0.152,5.252173,5.524429,6.655721
0.156,4.900049,5.252173,5.524429
0.16,3.388557,4.900049,5.252173
0.164,0.592966,3.388557,4.900049
0.168,-2.871025,0.592966,3.388557
0.172,-5.721913,-2.871025,0.592966
0.176,-6.366265,-5.721913,-2.871025
0.18,-4.4412,-6.366265,-5.721913
0.184,-1.799527,-4.4412,-6.366265
0.188,-1.150312,-1.799527,-4.4412
0.192,-2.956918,-1.150312,-1.799527
0.196,-5.073552,-2.956918,-1.150312
0.2,-5.419029,-5.073552,-2.956918
0.204,-3.601447,-5.419029,-5.073552
0.208,-0.43236,-3.601447,-5.419029
0.212,3.294097,-0.43236,-3.601447
0.216,6.848562,3.294097,-0.43236
0.22,9.515635,6.848562,3.294097
0.224,10.989871,9.515635,6.848562
0.228,11.033595,10.989871,9.515635
0.232,9.468094,11.033595,10.989871
0.236,6.58876,9.468094,11.033595
0.24,3.365622,6.58876,9.468094
0.244,1.134204,3.365622,6.58876
0.248,0.594872,1.134204,3.365622
0.252,1.353434,0.594872,1.134204
0.256,2.121938,1.353434,0.594872
0.26,1.615265,2.121938,1.353434
0.264,-0.52578,1.615265,2.121938
0.268,-3.745254,-0.52578,1.615265
0.272,-6.90674,-3.745254,-0.52578
0.276,-8.947811,-6.90674,-3.745254
0.28,-9.546391,-8.947811,-6.90674
0.284,-8.992352,-9.546391,-8.947811
0.288,-7.590408,-8.992352,-9.546391
0.292,-5.096181,-7.590408,-8.992352
0.296,-1.52753,-5.096181,-7.590408
0.3,1.85338,-1.52753,-5.096181
0.304,3.825686,1.85338,-1.52753
0.308,4.640648,3.825686,1.85338
0.312,5.128723,4.640648,3.825686
0.316,4.980987,5.128723,4.640648
0.32,3.609636,4.980987,5.128723
0.324,1.771121,3.609636,4.980987
0.328,0.279729,1.771121,3.609636
0.332,-1.237995,0.279729,1.771121
0.336,-3.279276,-1.237995,0.279729
0.34,-5.158512,-3.279276,-1.237995
0.344,-5.767878,-5.158512,-3.279276
0.348,-5.336726,-5.767878,-5.158512
0.352,-4.90966,-5.336726,-5.767878
0.356,-4.888657,-4.90966,-5.336726
0.36,-4.847996,-4.888657,-4.90966
0.364,-4.167151,-4.847996,-4.888657
0.368,-2.687903,-4.167151,-4.847996
0.372,-0.744073,-2.687903,-4.167151
0.376,0.989652,-0.744073,-2.687903
0.38,2.380502,0.989652,-0.744073
0.384,4.315159,2.380502,0.989652
0.388,7.025374,4.315159,2.380502
0.392,9.358485,7.025374,4.315159
0.396,10.378086,9.358485,7.025374
0.4,10.50004,10.378086,9.358485
0.404,10.206945,10.50004,10.378086
0.408,9.028646,10.206945,10.50004
0.412,6.998278,9.028646,10.206945
0.416,4.886145,6.998278,9.028646
0.42,2.550429,4.886145,6.998278
0.424,-0.72424,2.550429,4.886145
0.428,-4.364046,-0.72424,2.550429
0.432,-6.36105,-4.364046,-0.72424
0.436,-5.822595,-6.36105,-4.364046
0.44,-4.293989,-5.822595,-6.36105
0.444,-3.616896,-4.293989,-5.822595
0.448,-3.546337,-3.616896,-4.293989
0.452,-2.354146,-3.546337,-3.616896
0.456,0.327962,-2.354146,-3.546337
0.46,2.980484,0.327962,-2.354146
0.464,4.488467,2.980484,0.327962
0.468,4.843656,4.488467,2.980484
0.472,4.370599,4.843656,4.488467
0.476,3.581831,4.370599,4.843656
0.48,3.423354,3.581831,4.370599
0.484,4.306008,3.423354,3.581831
0.488,4.881134,4.306008,3.423354
0.492,3.48446,4.881134,4.306008
0.496,0.419458,3.48446,4.881134
0.5,-2.093605,0.419458,3.48446
0.504,-2.389454,-2.093605,0.419458
0.508,-1.397418,-2.389454,-2.093605
0.512,-1.062404,-1.397418,-2.389454
0.516,-1.93108,-1.062404,-1.397418
0.52,-3.088659,-1.93108,-1.062404
0.524,-3.117272,-3.088659,-1.93108
0.528,-0.796762,-3.117272,-3.088659
0.532,3.956193,-0.796762,-3.117272
0.536,8.92669,3.956193,-0.796762
0.54,11.309989,8.92669,3.956193
0.544,10.711292,11.309989,8.92669
0.548,8.788079,10.711292,11.309989
0.552,7.171218,8.788079,10.711292
0.556,6.719204,7.171218,8.788079
0.56,7.80224,6.719204,7.171218
0.564,9.808915,7.80224,6.719204
0.568,10.914987,9.808915,7.80224
0.572,9.96916,10.914987,9.808915
0.576,7.74932,9.96916,10.914987
0.58,5.915281,7.74932,9.96916
0.584,5.347969,5.915281,7.74932
0.588,5.813526,5.347969,5.915281
0.592,6.80395,5.813526,5.347969
0.596,7.722353,6.80395,5.813526
0.6,7.845965,7.722353,6.80395
0.604,6.925154,7.845965,7.722353
0.608,5.666246,6.925154,7.845965
0.612,5.291659,5.666246,6.925154
0.616,5.948555,5.291659,5.666246
0.62,6.498439,5.948555,5.291659
0.624,5.988588,6.498439,5.948555
0.628,4.315279,5.988588,6.498439
0.632,2.214738,4.315279,5.988588
0.636,0.785863,2.214738,4.315279
0.64,0.583905,0.785863,2.214738
0.644,1.081437,0.583905,0.785863
0.648,1.334326,1.081437,0.583905
0.652,1.318344,1.334326,1.081437
0.656,1.440327,1.318344,1.334326
0.66,1.566103,1.440327,1.318344
0.664,1.413647,1.566103,1.440327
0.668,1.089228,1.413647,1.566103
0.672,0.865966,1.089228,1.413647
0.676,0.267859,0.865966,1.089228
0.68,-1.159395,0.267859,0.865966
0.684,-2.20519,-1.159395,0.267859
0.688,-1.284504,-2.20519,-1.159395
0.692,1.240388,-1.284504,-2.20519
0.696,3.638274,1.240388,-1.284504
0.7,5.358795,3.638274,1.240388
0.704,7.120109,5.358795,3.638274
0.708,8.716461,7.120109,5.358795
0.712,9.251189,8.716461,7.120109
0.716,8.538605,9.251189,8.716461
0.72,7.260773,8.538605,9.251189
0.724,5.972672,7.260773,8.538605
0.728,4.283987,5.972672,7.260773
0.732,1.677197,4.283987,5.972672
0.736,-1.483186,1.677197,4.283987
0.74,-4.249854,-1.483186,1.677197
0.744,-6.002492,-4.249854,-1.483186
0.748,-6.643378,-6.002492,-4.249854
0.752,-6.063363,-6.643378,-6.002492
0.756,-4.597739,-6.063363,-6.643378
0.76,-2.994231,-4.597739,-6.063363
0.764,-1.535299,-2.994231,-4.597739
0.768,-0.114828,-1.535299,-2.994231
0.772,1.18354,-0.114828,-1.535299
0.776,1.699535,1.18354,-0.114828
0.78,0.669684,1.699535,1.18354
0.784,-1.633665,0.669684,1.699535
0.788,-4.023966,-1.633665,0.669684
0.792,-5.422812,-4.023966,-1.633665
0.796,-5.547582,-5.422812,-4.023966
0.8,-4.760846,-5.547582,-5.422812
0.804,-4.040814,-4.760846,-5.547582
0.808,-4.632876,-4.040814,-4.760846
0.812,-6.23144,-4.632876,-4.040814
0.816,-7.025951,-6.23144,-4.632876
0.82,-6.233419,-7.025951,-6.23144
0.824,-5.048447,-6.233419,-7.025951
0.828,-4.856247,-5.048447,-6.233419
0.832,-5.401625,-4.856247,-5.048447
0.836,-5.631895,-5.401625,-4.856247
0.84,-5.060018,-5.631895,-5.401625
0.844,-3.656482,-5.060018,-5.631895
0.848,-1.707728,-3.656482,-5.060018
0.852,0.082694,-1.707728,-3.656482
0.856,0.615373,0.082694,-1.707728
0.86,-0.400592,0.615373,0.082694
0.864,-1.642389,-0.400592,0.615373
0.868,-1.863843,-1.642389,-0.400592
0.872,-1.472414,-1.863843,-1.642389
0.876,-1.829544,-1.472414,-1.863843
0.88,-3.619441,-1.829544,-1.472414
0.884,-6.534015,-3.619441,-1.829544
0.888,-9.813767,-6.534015,-3.619441
0.892,-12.145862,-9.813767,-6.534015
0.896,-12.566889,-12.145862,-9.813767
0.9,-11.522841,-12.566889,-12.145862
0.904,-10.130525,-11.522841,-12.566889
0.908,-8.82994,-10.130525,-11.522841
0.912,-7.193364,-8.82994,-10.130525
0.916,-5.079112,-7.193364,-8.82994
0.92,-3.103163,-5.079112,-7.193364
0.924,-2.012866,-3.103163,-5.079112
0.928,-2.4503,-2.012866,-3.103163
0.932,-4.593376,-2.4503,-2.012866
0.936,-7.623059,-4.593376,-2.4503
0.94,-9.852718,-7.623059,-4.593376
0.944,-10.021381,-9.852718,-7.623059
0.948,-8.7013,-10.021381,-9.852718
0.952,-7.525825,-8.7013,-10.021381
0.956,-7.415721,-7.525825,-8.7013
